controller,value,date,time
BLOWER,1,2020-10-12,04:59:01
BLOWER,1,2020-10-12,04:59:01
BLOWER,0,2020-10-12,05:24:16
BLOWER,1,2020-10-12,05:33:12
BLOWER,0,2020-10-12,05:34:31
BLOWER,0,2020-10-12,05:34:31
BLOWER,1,2020-10-12,06:17:46
BLOWER,1,2020-10-12,06:17:46
BLOWER,1,2020-10-12,06:17:46
BLOWER,0,2020-10-12,06:23:31
BLOWER,1,2020-10-12,06:30:16
BLOWER,1,2020-10-12,06:30:16
BLOWER,1,2020-10-12,06:30:16
BLOWER,0,2020-10-12,06:43:31
BLOWER,1,2020-10-12,06:53:46
BLOWER,1,2020-10-12,06:53:46
BLOWER,1,2020-10-12,06:53:46
BLOWER,0,2020-10-12,12:49:31
BLOWER,1,2020-10-12,12:54:16
BLOWER,0,2020-10-12,13:11:01
BLOWER,1,2020-10-12,13:29:01
BLOWER,1,2020-10-12,13:29:01
BLOWER,0,2020-10-12,13:30:46
BLOWER,0,2020-10-12,13:30:46
BLOWER,1,2020-10-12,13:35:16
BLOWER,1,2020-10-12,13:35:16
BLOWER,0,2020-10-12,16:04:31
BLOWER,0,2020-10-12,16:04:31
BLOWER,1,2020-10-16,09:35:01
BLOWER,1,2020-10-16,09:35:01
BLOWER,1,2020-10-16,09:35:01
BLOWER,0,2020-10-16,09:55:16
BLOWER,1,2020-10-16,10:09:46
BLOWER,0,2020-10-16,10:12:01
BLOWER,1,2020-10-16,10:16:16
BLOWER,1,2020-10-16,10:16:16
BLOWER,1,2020-10-16,10:16:16
BLOWER,1,2020-10-16,10:16:16
BLOWER,1,2020-10-16,10:16:16
BLOWER,1,2020-10-16,10:16:16
BLOWER,1,2020-10-16,10:16:16
BLOWER,1,2020-10-16,10:16:16
BLOWER,1,2020-10-16,10:16:16
BLOWER,0,2020-10-16,12:39:46
BLOWER,1,2020-10-16,12:40:01
BLOWER,0,2020-10-16,12:40:16
BLOWER,1,2020-10-16,12:45:01
BLOWER,1,2020-10-16,12:45:01
BLOWER,1,2020-10-16,12:45:01
BLOWER,0,2020-10-16,13:19:01
BLOWER,1,2020-10-16,13:19:31
BLOWER,1,2020-10-16,13:19:31
BLOWER,0,2020-10-16,13:42:01
BLOWER,0,2020-10-16,13:42:01
BLOWER,1,2020-10-16,13:53:31
BLOWER,1,2020-10-16,13:53:31
BLOWER,0,2020-10-16,14:26:31
BLOWER,0,2020-10-16,14:26:31
BLOWER,1,2020-10-17,08:39:31
BLOWER,0,2020-10-17,08:40:46
BLOWER,1,2020-10-17,08:41:16
BLOWER,1,2020-10-17,08:41:16
BLOWER,1,2020-10-17,08:41:16
BLOWER,1,2020-10-17,08:41:16
BLOWER,0,2020-10-17,08:58:16
BLOWER,0,2020-10-17,08:58:16
BLOWER,1,2020-10-17,08:58:31
BLOWER,1,2020-10-17,08:58:31
BLOWER,1,2020-10-17,08:58:31
BLOWER,1,2020-10-17,08:58:31
BLOWER,1,2020-10-17,08:58:31
BLOWER,0,2020-10-17,09:51:16
BLOWER,1,2020-10-17,09:56:46
BLOWER,0,2020-10-17,09:59:46
BLOWER,1,2020-10-17,10:00:01
BLOWER,1,2020-10-17,10:00:01
BLOWER,1,2020-10-17,10:00:01
BLOWER,0,2020-10-17,16:09:31
BLOWER,1,2020-10-18,09:14:01
BLOWER,0,2020-10-18,09:15:31
BLOWER,1,2020-10-18,09:15:46
BLOWER,0,2020-10-18,09:17:31
BLOWER,1,2020-10-18,09:17:46
BLOWER,1,2020-10-18,09:17:46
BLOWER,1,2020-10-18,09:17:46
BLOWER,0,2020-10-18,16:06:01
BLOWER,1,2020-10-18,16:06:31
BLOWER,0,2020-10-18,16:09:46
BLOWER,1,2020-10-18,16:13:16
BLOWER,0,2020-10-18,16:26:01
BLOWER,1,2020-10-18,16:33:01
BLOWER,0,2020-10-18,16:38:46
BLOWER,1,2020-10-19,08:17:31
BLOWER,1,2020-10-19,08:17:31
BLOWER,0,2020-10-19,08:37:16
BLOWER,0,2020-10-19,08:37:16
BLOWER,1,2020-10-19,08:37:31
BLOWER,1,2020-10-19,08:37:31
BLOWER,1,2020-10-19,08:37:31
BLOWER,1,2020-10-19,08:37:31
BLOWER,1,2020-10-19,08:37:31
BLOWER,1,2020-10-19,08:37:31
BLOWER,1,2020-10-19,08:37:31
BLOWER,1,2020-10-19,08:37:31
BLOWER,1,2020-10-19,08:37:31
BLOWER,0,2020-10-19,16:07:31
BLOWER,1,2020-10-19,16:08:46
BLOWER,0,2020-10-19,16:19:46
BLOWER,1,2020-10-20,07:48:01
BLOWER,0,2020-10-20,07:51:16
BLOWER,1,2020-10-20,07:51:46
BLOWER,0,2020-10-20,07:52:46
BLOWER,1,2020-10-20,07:58:01
BLOWER,0,2020-10-20,08:01:01
BLOWER,1,2020-10-20,08:07:16
BLOWER,0,2020-10-20,08:13:16
BLOWER,1,2020-10-20,08:15:01
BLOWER,0,2020-10-20,08:17:16
BLOWER,1,2020-10-20,08:17:31
BLOWER,1,2020-10-20,08:17:31
BLOWER,1,2020-10-20,08:17:31
BLOWER,1,2020-10-20,08:17:31
BLOWER,1,2020-10-20,08:17:31
BLOWER,1,2020-10-20,08:17:31
BLOWER,0,2020-10-20,08:32:16
BLOWER,0,2020-10-20,08:32:16
BLOWER,1,2020-10-20,08:32:31
BLOWER,1,2020-10-20,08:32:31
BLOWER,1,2020-10-20,08:32:31
BLOWER,0,2020-10-20,09:15:16
BLOWER,1,2020-10-20,09:23:46
BLOWER,1,2020-10-20,09:23:46
BLOWER,1,2020-10-20,09:23:46
BLOWER,0,2020-10-20,14:26:01
BLOWER,1,2020-10-20,14:43:16
BLOWER,1,2020-10-20,14:43:16
BLOWER,1,2020-10-20,14:43:16
BLOWER,0,2020-10-20,16:14:16
BLOWER,1,2020-10-21,06:01:31
BLOWER,1,2020-10-21,06:01:31
BLOWER,1,2020-10-21,06:01:31
BLOWER,0,2020-10-21,08:34:16
BLOWER,1,2020-10-21,08:40:16
BLOWER,1,2020-10-21,08:40:16
BLOWER,0,2020-10-21,09:16:01
BLOWER,0,2020-10-21,09:16:01
BLOWER,1,2020-10-21,09:21:01
BLOWER,0,2020-10-21,09:26:46
BLOWER,1,2020-10-21,09:50:01
BLOWER,1,2020-10-21,09:50:01
BLOWER,1,2020-10-21,09:50:01
BLOWER,0,2020-10-21,10:12:01
BLOWER,1,2020-10-21,10:26:46
BLOWER,0,2020-10-21,10:27:01
BLOWER,1,2020-10-22,03:31:31
BLOWER,0,2020-10-22,03:32:31
BLOWER,1,2020-10-22,04:05:31
BLOWER,0,2020-10-22,04:06:31
BLOWER,1,2020-10-22,04:07:01
BLOWER,1,2020-10-22,04:07:01
BLOWER,1,2020-10-22,04:07:01
BLOWER,0,2020-10-22,04:29:01
BLOWER,1,2020-10-22,04:32:31
BLOWER,1,2020-10-22,04:32:31
BLOWER,1,2020-10-22,04:32:31
BLOWER,0,2020-10-22,05:03:31
BLOWER,1,2020-10-22,05:34:01
BLOWER,1,2020-10-22,05:34:01
BLOWER,1,2020-10-22,05:34:01
BLOWER,1,2020-10-22,05:34:01
BLOWER,1,2020-10-22,05:34:01
BLOWER,1,2020-10-22,05:34:01
BLOWER,0,2020-10-22,07:15:31
BLOWER,0,2020-10-22,07:15:31
BLOWER,1,2020-10-22,08:12:01
BLOWER,1,2020-10-22,08:12:01
BLOWER,1,2020-10-22,08:12:01
BLOWER,0,2020-10-22,09:01:31
BLOWER,1,2020-10-22,09:05:31
BLOWER,0,2020-10-22,09:11:31
BLOWER,1,2020-10-22,09:58:01
BLOWER,0,2020-10-22,10:03:01
BLOWER,1,2020-10-22,10:31:31
BLOWER,0,2020-10-22,10:32:01
BLOWER,1,2020-10-23,02:16:01
BLOWER,0,2020-10-23,02:17:01
BLOWER,1,2020-10-23,02:22:31
BLOWER,0,2020-10-23,02:23:01
BLOWER,1,2020-10-23,02:24:31
BLOWER,0,2020-10-23,02:25:01
BLOWER,1,2020-10-23,02:29:01
BLOWER,0,2020-10-23,02:30:31
BLOWER,1,2020-10-23,02:31:01
BLOWER,0,2020-10-23,02:32:31
BLOWER,1,2020-10-23,02:41:01
BLOWER,0,2020-10-23,02:59:31
BLOWER,1,2020-10-23,03:00:01
BLOWER,1,2020-10-23,03:00:01
BLOWER,1,2020-10-23,03:00:01
BLOWER,0,2020-10-23,03:16:01
BLOWER,1,2020-10-23,03:16:31
BLOWER,0,2020-10-23,03:45:31
BLOWER,1,2020-10-23,03:46:01
BLOWER,1,2020-10-23,03:46:01
BLOWER,1,2020-10-23,03:46:01
BLOWER,0,2020-10-23,04:36:01
BLOWER,1,2020-10-23,04:41:01
BLOWER,1,2020-10-23,04:41:01
BLOWER,1,2020-10-23,04:41:01
BLOWER,0,2020-10-23,05:11:31
BLOWER,1,2020-10-23,05:21:31
BLOWER,0,2020-10-23,05:35:31
BLOWER,1,2020-10-23,05:45:31
BLOWER,1,2020-10-23,05:45:31
BLOWER,1,2020-10-23,05:45:31
BLOWER,0,2020-10-23,06:05:31
BLOWER,1,2020-10-23,06:10:01
BLOWER,0,2020-10-23,06:17:01
BLOWER,1,2020-10-23,06:21:01
BLOWER,1,2020-10-23,06:21:01
BLOWER,1,2020-10-23,06:21:01
